onset	duration	label	type	connector	trial	session	missing_timing_data	classification	comments
0	0	ecog_101		0	84	2	0		
0	0	ecog_101		0	85	2	0		
0	0	ecog_101		0	1	3	0		
0	0	ecog_101		0	2	3	0		
0	0	ecog_101		0	3	3	0		
0	0	ecog_101		0	4	3	0		
0	0	ecog_101		0	5	3	0		
0	0	ecog_101		0	6	3	0		
0	0	ecog_101		0	7	3	0		
0	0	ecog_101		0	8	3	0		
0	0	ecog_101		0	9	3	0		
0	0	ecog_101		0	10	3	0		
0	0	ecog_101		0	11	3	0		
0	0	ecog_101		0	12	3	0		
0	0	ecog_101		0	13	3	0		
0	0	ecog_101		0	14	3	0		
0	0	ecog_101		0	15	3	0		
0	0	ecog_101		0	16	3	0		
0	0	ecog_101		0	17	3	0		
0	0	ecog_101		0	18	3	0		
0	0	ecog_101		0	19	3	0		
0	0	ecog_101		0	20	3	0		
0	0	ecog_101		0	21	3	0		
0	0	ecog_101		0	22	3	0		
0	0	ecog_101		0	23	3	0		
0	0	ecog_101		0	24	3	0		
0	0	ecog_101		0	25	3	0		
0	0	ecog_101		0	26	3	0		
0	0	ecog_101		0	27	3	0		
0	0	ecog_101		0	28	3	0		
0	0	ecog_101		0	29	3	0		
0	0	ecog_101		0	30	3	0		
0	0	ecog_101		0	31	3	0		
0	0	ecog_101		0	32	3	0		
0	0	ecog_101		0	33	3	0		
0	0	ecog_101		0	34	3	0		
0	0	ecog_101		0	35	3	0		
0	0	ecog_101		0	36	3	0		
0	0	ecog_101		0	37	3	0		
0	0	ecog_101		0	38	3	0		
0	0	ecog_101		0	39	3	0		
0	0	ecog_101		0	40	3	0		
0	0	ecog_101		0	41	3	0		
0	0	ecog_101		0	42	3	0		
0	0	ecog_101		0	43	3	0		
0	0	ecog_101		0	44	3	0		
0	0	ecog_101		0	45	3	0		
0	0	ecog_101		0	46	3	0		
0	0	ecog_101		0	47	3	0		
0	0	ecog_101		0	48	3	0		
0	0	ecog_101		0	49	3	0		
0	0	ecog_101		0	50	3	0		
0	0	ecog_101		0	51	3	0		
0	0	ecog_101		0	52	3	0		
0	0	ecog_101		0	53	3	0		
0	0	ecog_101		0	54	3	0		
0	0	ecog_101		0	55	3	0		
0	0	ecog_101		0	56	3	0		
0	0	ecog_101		0	57	3	0		
0	0	ecog_101		0	58	3	0		
0	0	ecog_101		0	59	3	0		
0	0	ecog_101		0	60	3	0		
0	0	ecog_101		0	61	3	0		
0	0	ecog_101		0	62	3	0		
0	0	ecog_101		0	63	3	0		
0	0	ecog_101		0	64	3	0		
0	0	ecog_101		0	65	3	0		
0	0	ecog_101		0	66	3	0		
0	0	ecog_101		0	67	3	0		
0	0	ecog_101		0	68	3	0		
0	0	ecog_101		0	69	3	0		
0	0	ecog_101		0	70	3	0		
0	0	ecog_101		0	71	3	0		
0	0	ecog_101		0	72	3	0		
0	0	ecog_101		0	73	3	0		
0	0	ecog_101		0	74	3	0		
0	0	ecog_101		0	75	3	0		
0	0	ecog_101		0	76	3	0		
0	0	ecog_101		0	77	3	0		
0	0	ecog_101		0	78	3	0		
0	0	ecog_101		0	79	3	0		
0	0	ecog_101		0	80	3	0		
0	0	ecog_101		0	81	3	0		
0	0	ecog_101		0	82	3	0		
0	0	ecog_101		0	83	3	0		
0	0	ecog_101		0	84	3	0		
0	0	ecog_101		0	85	3	0		
0	0	ecog_101		0	1	4	0		
0	0	ecog_101		0	2	4	0		
0	0	ecog_101		0	3	4	0		
0	0	ecog_101		0	4	4	0		
0	0	ecog_101		0	5	4	0		
0	0	ecog_101		0	6	4	0		
0	0	ecog_101		0	7	4	0		
0	0	ecog_101		0	8	4	0		
0	0	ecog_101		0	9	4	0		
0	0	ecog_101		0	10	4	0		
0	0	ecog_101		0	11	4	0		
